citta,coppia,origine,destinazione,margine_secondi,scadenza,strategia,probabilita,arrivo_programmato,cambi,coincide_con_robusto,ampiezza_frontiera,candidati,modello_ritardo
roma,5,72174,71265,1800,1787729452,piu_veloce,0.9990479043348732,1787727652,1,False,0.8917145805159336,5,sintetico
roma,5,72174,71265,1800,1787729452,meno_cambi,0.9999999996264612,1787727672,0,True,0.8917145805159336,5,sintetico
roma,5,72174,71265,1800,1787729452,margine_fisso,0.9999999996264612,1787727672,0,True,0.8917145805159336,5,sintetico
roma,5,72174,71265,1800,1787729452,robusto,0.9999999996264612,1787727672,0,True,0.8917145805159336,5,sintetico
roma,6,71153,74288,0,1787724908,piu_veloce,0.0039148907269032,1787724908,0,True,,6,sintetico
roma,6,71153,74288,0,1787724908,meno_cambi,0.0039148907269032,1787724908,0,True,,6,sintetico
roma,6,71153,74288,0,1787724908,margine_fisso,0.0039148907269032,1787724908,0,True,,6,sintetico
roma,6,71153,74288,0,1787724908,robusto,0.0039148907269032,1787724908,0,True,,6,sintetico
roma,6,71153,74288,300,1787725208,piu_veloce,0.36783913852191075,1787724908,0,True,,6,sintetico
roma,6,71153,74288,300,1787725208,meno_cambi,0.36783913852191075,1787724908,0,True,,6,sintetico
roma,6,71153,74288,300,1787725208,margine_fisso,0.36783913852191075,1787724908,0,True,,6,sintetico
roma,6,71153,74288,300,1787725208,robusto,0.36783913852191075,1787724908,0,True,,6,sintetico
roma,6,71153,74288,600,1787725508,piu_veloce,0.7619674464896322,1787724908,0,True,,6,sintetico
roma,6,71153,74288,600,1787725508,meno_cambi,0.7619674464896322,1787724908,0,True,,6,sintetico
roma,6,71153,74288,600,1787725508,margine_fisso,0.7619674464896322,1787724908,0,True,,6,sintetico
roma,6,71153,74288,600,1787725508,robusto,0.7619674464896322,1787724908,0,True,,6,sintetico
roma,6,71153,74288,900,1787725808,piu_veloce,0.916948842055944,1787724908,0,True,0.8650154846986031,6,sintetico
roma,6,71153,74288,900,1787725808,meno_cambi,0.916948842055944,1787724908,0,True,0.8650154846986031,6,sintetico
roma,6,71153,74288,900,1787725808,margine_fisso,0.916948842055944,1787724908,0,True,0.8650154846986031,6,sintetico
roma,6,71153,74288,900,1787725808,robusto,0.916948842055944,1787724908,0,True,0.8650154846986031,6,sintetico
roma,6,71153,74288,1200,1787726108,piu_veloce,0.9692977521716606,1787724908,0,True,0.7732324615457009,6,sintetico
roma,6,71153,74288,1200,1787726108,meno_cambi,0.9692977521716606,1787724908,0,True,0.7732324615457009,6,sintetico
roma,6,71153,74288,1200,1787726108,margine_fisso,0.9692977521716606,1787724908,0,True,0.7732324615457009,6,sintetico
roma,6,71153,74288,1200,1787726108,robusto,0.9692977521716606,1787724908,0,True,0.7732324615457009,6,sintetico
roma,6,71153,74288,1800,1787726708,piu_veloce,0.99762553511114,1787724908,0,True,0.6830255108666247,6,sintetico
roma,6,71153,74288,1800,1787726708,meno_cambi,0.99762553511114,1787724908,0,True,0.6830255108666247,6,sintetico
roma,6,71153,74288,1800,1787726708,margine_fisso,0.99762553511114,1787724908,0,True,0.6830255108666247,6,sintetico
roma,6,71153,74288,1800,1787726708,robusto,0.99762553511114,1787724908,0,True,0.6830255108666247,6,sintetico
roma,7,70600,71822,0,1787727124,piu_veloce,0.0246244746373506,1787727124,2,True,,11,sintetico
roma,7,70600,71822,0,1787727124,meno_cambi,0.0,1787728548,1,False,,11,sintetico
roma,7,70600,71822,0,1787727124,margine_fisso,0.0,1787729994,1,False,,11,sintetico
roma,7,70600,71822,0,1787727124,robusto,0.0246244746373506,1787727124,2,True,,11,sintetico
roma,7,70600,71822,300,1787727424,piu_veloce,0.45037810047497684,1787727124,2,True,,11,sintetico
roma,7,70600,71822,300,1787727424,meno_cambi,0.0,1787728548,1,False,,11,sintetico
roma,7,70600,71822,300,1787727424,margine_fisso,0.0,1787729994,1,False,,11,sintetico
roma,7,70600,71822,300,1787727424,robusto,0.45037810047497684,1787727124,2,True,,11,sintetico
roma,7,70600,71822,600,1787727724,piu_veloce,0.55510740762786,1787727124,2,True,,11,sintetico
roma,7,70600,71822,600,1787727724,meno_cambi,0.0,1787728548,1,False,,11,sintetico
roma,7,70600,71822,600,1787727724,margine_fisso,0.0,1787729994,1,False,,11,sintetico
roma,7,70600,71822,600,1787727724,robusto,0.55510740762786,1787727124,2,True,,11,sintetico
roma,7,70600,71822,900,1787728024,piu_veloce,0.5690225657499323,1787727124,2,True,,11,sintetico
roma,7,70600,71822,900,1787728024,meno_cambi,0.0,1787728548,1,False,,11,sintetico
roma,7,70600,71822,900,1787728024,margine_fisso,0.0,1787729994,1,False,,11,sintetico
roma,7,70600,71822,900,1787728024,robusto,0.5690225657499323,1787727124,2,True,,11,sintetico
roma,7,70600,71822,1200,1787728324,piu_veloce,0.5710971048084408,1787727124,2,True,0.5305718805507497,11,sintetico
roma,7,70600,71822,1200,1787728324,meno_cambi,0.0,1787728548,1,False,0.5305718805507497,11,sintetico
roma,7,70600,71822,1200,1787728324,margine_fisso,0.0,1787729994,1,False,0.5305718805507497,11,sintetico
roma,7,70600,71822,1200,1787728324,robusto,0.5710971048084408,1787727124,2,True,0.5305718805507497,11,sintetico
roma,7,70600,71822,1800,1787728924,piu_veloce,0.8128625389056147,1787727124,2,False,0.7727580595576362,11,sintetico
roma,7,70600,71822,1800,1787728924,meno_cambi,0.16755315437205806,1787728548,1,False,0.7727580595576362,11,sintetico
roma,7,70600,71822,1800,1787728924,margine_fisso,0.0,1787729994,1,False,0.7727580595576362,11,sintetico
roma,7,70600,71822,1800,1787728924,robusto,0.9403112139296943,1787728604,2,True,0.7727580595576362,11,sintetico
roma,8,71056,76439,0,1787726206,piu_veloce,0.011401827988118172,1787726206,1,False,0.011208871355008187,7,sintetico
roma,8,71056,76439,0,1787726206,meno_cambi,0.0,1787726526,0,False,0.011208871355008187,7,sintetico
roma,8,71056,76439,0,1787726206,margine_fisso,0.023230135989081583,1787726211,1,True,0.011208871355008187,7,sintetico
roma,8,71056,76439,0,1787726206,robusto,0.023230135989081583,1787726211,1,True,0.011208871355008187,7,sintetico
roma,8,71056,76439,300,1787726506,piu_veloce,0.4653921514930106,1787726206,1,False,0.790807187906232,7,sintetico
roma,8,71056,76439,300,1787726506,meno_cambi,0.01438453400582108,1787726526,0,False,0.790807187906232,7,sintetico
roma,8,71056,76439,300,1787726506,margine_fisso,0.8242151364006232,1787726211,1,True,0.790807187906232,7,sintetico
roma,8,71056,76439,300,1787726506,robusto,0.8242151364006232,1787726211,1,True,0.790807187906232,7,sintetico
roma,8,71056,76439,600,1787726806,piu_veloce,0.53697023232769,1787726206,1,False,0.8958738957717527,7,sintetico
roma,8,71056,76439,600,1787726806,meno_cambi,0.8691778144883315,1787726526,0,False,0.8958738957717527,7,sintetico
roma,8,71056,76439,600,1787726806,margine_fisso,0.9459111821031515,1787726211,1,True,0.8958738957717527,7,sintetico
roma,8,71056,76439,600,1787726806,robusto,0.9459111821031515,1787726211,1,True,0.8958738957717527,7,sintetico
roma,8,71056,76439,900,1787727106,piu_veloce,0.540492712731802,1787726206,1,False,0.9292831998143325,7,sintetico
roma,8,71056,76439,900,1787727106,meno_cambi,0.9508719171662987,1787726526,0,False,0.9292831998143325,7,sintetico
roma,8,71056,76439,900,1787727106,margine_fisso,0.9536843390248597,1787726211,1,True,0.9292831998143325,7,sintetico
roma,8,71056,76439,900,1787727106,robusto,0.9536843390248597,1787726211,1,True,0.9292831998143325,7,sintetico
roma,8,71056,76439,1200,1787727406,piu_veloce,0.5408773096373551,1787726206,1,False,0.9184666708560473,7,sintetico
roma,8,71056,76439,1200,1787727406,meno_cambi,0.9532152306136107,1787726526,0,False,0.9184666708560473,7,sintetico
roma,8,71056,76439,1200,1787727406,margine_fisso,0.9705588310204618,1787726211,1,True,0.9184666708560473,7,sintetico
roma,8,71056,76439,1200,1787727406,robusto,0.9705588310204618,1787726211,1,True,0.9184666708560473,7,sintetico
roma,8,71056,76439,1800,1787728006,piu_veloce,0.9506137168730414,1787726206,1,False,0.6211155465273384,7,sintetico
roma,8,71056,76439,1800,1787728006,meno_cambi,0.9533308892449912,1787726526,0,False,0.6211155465273384,7,sintetico
roma,8,71056,76439,1800,1787728006,margine_fisso,0.9774440595420903,1787726211,1,True,0.6211155465273384,7,sintetico
roma,8,71056,76439,1800,1787728006,robusto,0.9774440595420903,1787726211,1,True,0.6211155465273384,7,sintetico
roma,9,81855,70294,0,1787727280,piu_veloce,0.07951920876511098,1787727280,2,True,,6,sintetico
roma,9,81855,70294,0,1787727280,meno_cambi,0.0,1787730240,0,False,,6,sintetico
roma,9,81855,70294,0,1787727280,margine_fisso,0.0,1787727478,1,False,,6,sintetico
roma,9,81855,70294,0,1787727280,robusto,0.07951920876511098,1787727280,2,True,,6,sintetico
roma,9,81855,70294,300,1787727580,piu_veloce,0.533543631455811,1787727280,2,True,0.4499801621764079,6,sintetico
roma,9,81855,70294,300,1787727580,meno_cambi,0.0,1787730240,0,False,0.4499801621764079,6,sintetico
